demand_id,vehicle_id,vehicle_no,depot,request_time,assigned_time,pickup_time,dropoff_time,call_waiting_time,pickup_waiting_time,service_travel_time,total_trip_time,work_start,work_end,actual_work_hours,pickup_node_id,dropoff_node_id,pickup_x,pickup_y,dropoff_x,dropoff_y,pickup_depot_name,dropoff_depot_name
CL0000023430_june23_094,11,73두0178,향남차고지,10:24:54,10:24:54,11:43:54,12:08:41,0.0,79.0,24.783333333333335,103.78333333333333,10:00:00,19:00:00,8.0,195732.0,581123.0,126.81666154753292,37.08188913462668,126.79730746888322,37.114258211317605,향남차고지,향남차고지
CL0000034050_june23_021,9,73두0136,동탄차고지,07:25:57,08:00:00,08:24:38,12:15:06,34.05,24.633333333333333,230.46666666666667,289.15,08:00:00,17:00:00,8.5,329655.0,186323.0,127.06613534704124,37.20192531331036,126.63620754455944,37.37442362971698,동탄차고지,
CL0000044347_june23_103,31,70우6254,향남차고지,10:46:56,10:46:56,11:41:44,12:19:05,0.0,54.8,37.35,92.15,08:00:00,17:00:00,8.0,328107.0,333600.0,127.00796001162136,37.19987284257063,127.04773122256296,37.278167581587496,병점차고지,
CL0000016825_june23_101,53,728루4751,병점차고지,10:44:13,10:44:13,11:27:00,12:20:32,0.0,42.78333333333333,53.53333333333333,96.31666666666666,08:00:00,18:00:00,9.0,588288.0,353302.0,127.12459461794208,37.20721963174206,127.12345430419438,37.350654238516775,동탄차고지,
CL0000003514_june23_106,29,70보5603,남양차고지,10:54:36,10:54:36,11:04:13,12:22:04,0.0,9.616666666666667,77.85,87.46666666666667,08:00:00,19:00:00,10.0,581178.0,562079.0,126.8309395072083,37.20992565210092,127.03572608270257,37.20692274986452,남양차고지,병점차고지
CL0000002005_june23_093,15,76보5223,병점차고지,10:23:02,10:23:02,11:42:23,12:24:03,0.0,79.35,41.666666666666664,121.01666666666667,10:00:00,21:00:00,10.0,211560.0,198708.0,126.87462745526786,37.23971632694457,126.85211073319624,37.30879530094756,봉담차고지,
CL0000039153_june23_121,57,728루4777,동탄차고지,11:54:26,11:54:26,12:12:00,12:27:17,0.0,17.566666666666666,15.283333333333333,32.85,10:00:00,21:00:00,10.0,329897.0,328388.0,127.07946083964411,37.21567863287279,127.04125215272138,37.2031306557569,동탄차고지,병점차고지
CL0000050815_june23_091,10,73두0156,향남차고지,10:21:01,10:21:01,11:54:07,12:39:21,0.0,93.1,45.233333333333334,138.33333333333334,10:00:00,19:00:00,8.0,196199.0,211006.0,126.81583110804694,37.13827712752737,126.87462978196194,37.114570527227606,향남차고지,향남차고지
CL0000001072_june23_111,50,728루4754,봉담차고지,11:15:48,11:38:09,12:22:28,12:45:26,22.35,44.31666666666667,22.966666666666665,89.63333333333334,10:00:00,22:00:00,11.0,334910.0,328566.0,127.07427328754063,37.25600564941309,127.00911276758882,37.20996477118594,,병점차고지
CL0000003415_june23_128,25,70보5616,동탄차고지,12:36:37,12:36:37,12:39:50,12:46:19,0.0,3.216666666666667,6.483333333333333,9.7,10:00:00,19:00:00,8.0,613288.0,613408.0,127.11062216195234,37.17098887669788,127.1020099431703,37.17667112018309,동탄차고지,동탄차고지
CL0000001467_june23_110,22,70보5602,병점차고지,11:10:21,11:10:21,12:10:15,12:48:00,0.0,59.9,37.75,97.65,10:00:00,19:00:00,8.0,605497.0,211121.0,126.91095433254176,37.11303819227389,126.99601597197126,37.09442771675607,향남차고지,향남차고지
CL0000008623_june23_123,11,73두0178,향남차고지,12:16:47,12:16:47,12:16:52,12:48:19,0.0,0.08333333333333333,31.45,31.533333333333335,10:00:00,19:00:00,8.0,581955.0,212094.0,126.92153069647748,37.13715391512689,126.97753824312431,37.21555995180653,향남차고지,봉담차고지
CL0000003788_june23_029,19,76보5242,동탄차고지,07:40:16,08:00:00,11:03:38,12:49:19,19.733333333333334,183.63333333333333,105.68333333333334,309.05,08:00:00,17:00:00,8.5,196786.0,214849.0,126.75091810905924,37.19118300501594,126.87366863581074,37.31629664469536,남양차고지,
CL0000003173_june23_107,37,714머8651,향남차고지,10:56:04,10:56:04,12:22:54,12:52:44,0.0,86.83333333333333,29.833333333333332,116.66666666666667,10:00:00,19:00:00,8.0,331148.0,613481.0,127.0796456964893,37.21713985119504,127.0836714031165,37.31358872367665,동탄차고지,
CL0000004708_june23_129,30,70우6250,동탄차고지,12:37:26,12:37:26,12:40:30,12:53:34,0.0,3.066666666666667,13.066666666666666,16.133333333333333,06:00:00,15:00:00,8.5,587626.0,329370.0,127.10711590281215,37.17606787597767,127.06912237975436,37.19111959712519,동탄차고지,동탄차고지
CL0000016424_june23_059,44,728루4747,향남차고지,08:57:24,08:57:24,10:22:59,12:55:13,0.0,85.58333333333333,152.23333333333332,237.81666666666666,08:00:00,17:00:00,8.0,581123.0,331972.0,126.79730746888322,37.114258211317605,127.01876595262436,37.25365177787882,향남차고지,
CL0000050815_june23_115,55,726도7208,병점차고지,11:19:55,11:19:55,12:27:41,12:57:59,0.0,67.76666666666667,30.3,98.06666666666666,10:00:00,19:00:00,8.0,211006.0,196199.0,126.87462978196194,37.114570527227606,126.81583110804694,37.13827712752737,향남차고지,향남차고지
CL0000014310_june23_108,56,726도7242,향남차고지,10:57:40,10:57:40,12:34:21,13:00:00,0.0,96.68333333333334,25.65,122.33333333333333,08:00:00,17:00:00,8.0,562405.0,334424.0,127.10533911246716,37.20935056016968,127.07413733207576,37.27700573994936,동탄차고지,
CL0000022961_june23_124,61,728루4736,봉담차고지,12:17:37,12:17:37,12:42:16,13:01:07,0.0,24.65,18.85,43.5,06:00:00,15:00:00,8.5,197063.0,196640.0,126.86880727267922,37.23535376706551,126.81864268321029,37.20903273377374,봉담차고지,남양차고지
CL0000028665_june23_130,25,70보5616,동탄차고지,12:46:23,12:46:23,12:49:27,13:03:08,0.0,3.066666666666667,13.683333333333334,16.75,10:00:00,19:00:00,8.0,587626.0,330614.0,127.10711590281215,37.17606787597767,127.06975209157044,37.1941098035657,동탄차고지,동탄차고지
CL0000001583_june23_118,27,70보5604,동탄차고지,11:31:48,12:00:00,12:32:47,13:12:40,28.2,32.78333333333333,39.88333333333333,100.86666666666666,06:00:00,15:00:00,8.0,352297.0,330614.0,127.148786346761,37.271604963394616,127.06975209157044,37.1941098035657,,동탄차고지
CL0000044315_june23_132,38,714머8669,동탄차고지,12:50:58,12:50:58,13:01:15,13:24:24,0.0,10.283333333333333,23.15,33.43333333333333,06:00:00,15:00:00,8.0,329657.0,331148.0,127.06637500780774,37.20031792046458,127.0796456964893,37.21713985119504,동탄차고지,동탄차고지
CL0000005963_june23_075,33,714머8648,봉담차고지,09:43:14,09:43:14,10:28:12,13:27:30,0.0,44.96666666666667,179.3,224.26666666666668,08:00:00,17:00:00,8.0,199233.0,581126.0,126.82543978922315,37.318821644616825,126.79711442675784,37.11345121783386,,향남차고지
CL0000033976_june23_131,10,73두0156,향남차고지,12:48:22,12:48:22,13:19:01,13:32:06,0.0,30.65,13.083333333333334,43.733333333333334,10:00:00,19:00:00,8.0,196998.0,552161.0,126.82991470218629,37.20243430121198,126.83226798261808,37.218437208456905,남양차고지,남양차고지
CL0000004798_june23_116,23,70보5601,향남차고지,11:20:15,12:00:00,12:40:48,13:33:32,39.75,40.8,52.733333333333334,133.28333333333333,06:00:00,15:00:00,8.5,581955.0,197597.0,126.92153069647748,37.13715391512689,126.86631863436511,37.29022150939409,향남차고지,
CL0000013281_june23_125,47,728루4759,향남차고지,12:19:48,12:19:48,12:56:36,13:35:46,0.0,36.8,39.166666666666664,75.96666666666667,06:00:00,15:00:00,8.0,581126.0,210618.0,126.79711442675784,37.11345121783386,126.91029295740636,37.13128954003405,향남차고지,향남차고지
CL0000003676_june23_135,30,70우6250,동탄차고지,12:56:02,12:56:02,12:59:06,13:40:42,0.0,3.066666666666667,41.6,44.666666666666664,06:00:00,15:00:00,8.5,587626.0,329496.0,127.10711590281215,37.17606787597767,127.07201251232593,37.20515962086177,동탄차고지,동탄차고지
CL0000035948_june23_134,37,714머8651,향남차고지,12:55:40,12:55:40,13:27:52,13:43:50,0.0,32.2,15.966666666666667,48.166666666666664,10:00:00,19:00:00,8.0,196640.0,581211.0,126.81864268321029,37.20903273377374,126.83455557393668,37.2092117237344,남양차고지,남양차고지
CL0000013576_june23_137,57,728루4777,동탄차고지,12:59:50,12:59:50,13:02:54,13:44:30,0.0,3.066666666666667,41.6,44.666666666666664,10:00:00,21:00:00,10.0,587626.0,329496.0,127.10711590281215,37.17606787597767,127.07201251232593,37.20515962086177,동탄차고지,동탄차고지
CL0000005251_june23_142,2,77라9903,병점차고지,13:27:10,13:27:10,13:31:35,13:56:13,0.0,4.416666666666667,24.633333333333333,29.05,13:00:00,22:00:00,8.0,562079.0,329096.0,127.03572608270257,37.20692274986452,127.04909514436578,37.21386803426587,병점차고지,병점차고지
CL0000049328_june23_138,7,71머4612,동탄차고지,13:00:36,13:00:36,13:25:05,13:56:39,0.0,24.483333333333334,31.566666666666666,56.05,08:00:00,19:00:00,10.0,329238.0,331148.0,127.07481451775844,37.19480187631188,127.0796456964893,37.21713985119504,동탄차고지,동탄차고지
CL0000016913_june23_143,29,70보5603,남양차고지,13:31:11,13:31:11,14:00:45,14:14:37,0.0,29.566666666666666,13.866666666666667,43.43333333333333,08:00:00,19:00:00,10.0,329625.0,331148.0,127.0612366388017,37.21708227788013,127.0796456964893,37.21713985119504,동탄차고지,동탄차고지
CL0000039067_june23_126,46,728루4752,향남차고지,12:25:27,12:25:27,13:57:07,14:31:50,0.0,91.66666666666667,34.71666666666667,126.38333333333334,06:00:00,15:00:00,8.0,210618.0,196279.0,126.91029295740636,37.13128954003405,126.86317628774644,37.13925095082437,향남차고지,향남차고지
CL0000003385_june23_154,35,714머8664,봉담차고지,13:57:50,13:57:50,14:06:03,14:32:33,0.0,8.216666666666667,26.5,34.71666666666667,08:00:00,19:00:00,10.0,605545.0,562335.0,126.95376481665032,37.22593548966335,127.0078037565462,37.20992174992237,봉담차고지,병점차고지
CL0000009382_june23_159,17,76보5240,병점차고지,14:10:05,14:10:05,14:21:04,14:33:46,0.0,10.983333333333333,12.7,23.683333333333334,08:00:00,19:00:00,10.0,329087.0,328692.0,127.05043697385344,37.22335924418469,127.0372916200398,37.21410262741063,병점차고지,병점차고지
CL0000005116_june23_166,43,714머8632,동탄차고지,14:20:56,14:20:56,14:26:57,14:35:04,0.0,6.016666666666667,8.116666666666667,14.133333333333333,08:00:00,17:00:00,8.0,613069.0,587154.0,127.10669653032684,37.165980129529295,127.11236597233908,37.15627101413146,동탄차고지,동탄차고지
CL0000045837_june23_141,4,77라9905,향남차고지,13:21:46,13:21:46,14:12:12,14:35:54,0.0,50.43333333333333,23.7,74.13333333333334,08:00:00,17:00:00,8.0,581962.0,210618.0,126.89817530878278,37.09798915923695,126.91029295740636,37.13128954003405,향남차고지,향남차고지
CL0000038417_june23_150,8,73두0130,병점차고지,13:49:32,13:49:32,14:15:38,14:37:13,0.0,26.1,21.583333333333332,47.68333333333333,08:00:00,17:00:00,8.5,330519.0,330127.0,127.0519030998592,37.2198410993169,127.0326690465142,37.20472017367815,병점차고지,병점차고지
